,news_headline,news_article,news_category
0,Ronaldo becomes first person to reach 25 crore followers on Instagram,Juventus star forward Cristiano Ronaldo has become the first person to have amassed more than 25 crore followers on Instagram. He's followed by pop star Ariana Grande with 21.4 crore followers and actor Dwayne 'The Rock' Johnson with 20.9 crore followers on Instagram. Ronaldo is also the most followed person on Facebook and the most followed sportsperson on Twitter.,technology
1,"Julian Assange can't be extradited to US due to suicide risk, rules UK court","A British judge on Monday rejected the US' request to extradite WikiLeaks Founder Julian Assange to face espionage charges. Assange was likely to commit suicide if sent to US, District Judge Vanessa Baraitser said. Assange has been indicted on 17 espionage charges and one charge of computer misuse over WikiLeaks' publication of leaked military and diplomatic documents a decade ago.",technology
2,When did billionaire Jack Ma criticise Chinese govt and what did he say?,"Billionaire Jack Ma criticised Chinese regulators in October 2020, called Chinese banks ""pawn shops"" and said China's biggest risk is that it ""lacks financial ecosystem"". Days later, $35-billion IPO of his Ant Group on the Hong Kong and Shanghai exchanges, set to be the world's biggest, was halted by regulators. They ordered Ant Group to return to its 'payments origin'.",technology
3,Jack Ma suspected to be missing for 2 months after criticising China govt,"Chinese billionaire and Alibaba Co-Founder Jack Ma has not made a public appearance in more than two months after he criticised President Xi Jinping-led government. Ma criticised the country's ""pawnshop"" financial regulators and state-owned banks in a speech in October. China recently launched an anti-monopoly investigation into Alibaba, after suspending Jack Ma-owned Ant Group's $35-billion IPO.",technology
4,"Slack down for many users worldwide, messages fail to load","Several Slack users from across the world reported facing issues with loading of messages on Monday. Slack acknowledged the issues and said its team is investigating the matter. However, the company did not share any information immediately explaining what was causing the outage.",technology
5,S'pore police to be able to access contact tracing data for criminal probes,"Singapore police will be able to use data obtained by Singapore's coronavirus contact-tracing technology for criminal investigations. Singapore uses an app, TraceTogether, and a device to trace contacts. Home affairs minister Desmond Tan said the police is empowered under the Criminal Procedure Code to obtain any data, and that includes the TraceTogether data.",technology
6,Reliance to move Punjab and Haryana HC to stop vandalism of towers,"Mukesh Ambani-led Reliance Industries Limited (RIL) on Monday said that it will file a petition in Punjab and Haryana High Court seeking government intervention to stop vandalism of towers amid farmers' protest. The acts of violence have endangered the employees' lives, RIL said. It also alleged that the vandalism was ""instigated and aided by vested interests and our business rivals"".",technology
7,PHDCCI welcomes BSNL's move to allow indigenous equipment in 4G network,"The PHD Chamber of Commerce and Industry (PHDCCI) has welcomed state-run BSNL's move to allow indigenous equipment manufacturers to participate in the new 4G tender. This will ensure level-playing field for all indigenous technologies and also strengthen India's cyber security preparedness, PHDCCI Telecom Committee's Chairman Sandeep Aggarwal said.",technology
8,US' Massachusetts to require all new cars sold to be electric by 2035,"The US State of Massachusetts has mandated all new cars that are sold in the state switch to the electric mode by 2035. State Governor Charlie Baker put forward plans for the next decade to cut down on emissions. The state is now legally bound to reduce its carbon emissions to 45% below levels in 1990 by the year 2030.
",technology
9,Chinese e-comm firm faces labour probe after employee's death: Report,"Chinese e-commerce platform Pinduoduo is facing a review of its working conditions from government officials after disclosing the death of a female employee, state-owned Beijing Youth Daily reported. Her death renewed criticism of the ""996"" work culture, commonly practised in Chinese tech companies, where employees work from 9 am to 9 pm, six days a week.",technology
