,news_headline,news_article,news_category
0,47% find WhatsApp's updated privacy policy unacceptable: Inshorts poll,"After the recent update to WhatsApp's privacy policy in India, 47% respondents of an Inshorts poll said they wouldn't accept it and will look for alternatives to the messaging app. Over 39% respondents said they'll accept the policy as they aren't aware of any suitable alternatives. Around 14% respondents didn't see any privacy concerns and said they'll continue using WhatsApp.",technology
1,As promised: Elon Musk on Tesla's India entry,"Elon Musk has tweeted ""as promised"" in response to a news article about Tesla's entry into India. His response came after it was revealed that Tesla registered a new Indian subsidiary in Bengaluru and named its three directors. Last year, Elon Musk tweeted, ""Next year for sure,"" in response to a user enquiring about Tesla's India entry.",technology
2,Xiaomi blacklisted by US for its links to Chinese military,"The US has blacklisted smartphone manufacturer Xiaomi for its links to the Chinese military. The move means US investors will be unable to purchase Xiaomi securities and will have to divest holdings they already own by November 11, 2021. Eight other businesses including state-owned aircraft maker COMAC were placed on the list of companies with connections to the Chinese military.",technology
3,Google removes personal loan apps that violated safety policies in India,Google on Thursday said it has removed personal loan apps found violating its user safety policies from its app store in India. It reviewed hundreds of such apps based on flags submitted by users and government agencies. The development comes days after Hyderabad Police busted instant loan app scam that led to borrowers committing suicide due to harassment over repayment.,technology
4,"Intel CEO Bob Swan to step down in Feb, VMware CEO to replace him: Report","Intel CEO Bob Swan is set to step down from his position on February 15, CNBC reported on Wednesday. VMWare CEO Pat Gelsinger, who was also Intel's first Chief Technology Officer, will reportedly take over from Swan. This comes after stakeholder Third Point urged Intel to divest from “failed acquisitions” and criticised it for “loss of manufacturing leadership"".",technology
5,Samsung uses iPhone to tweet about its upcoming smartphone; gets trolled,"Samsung used its rival company Apple's iPhone to promote an event for the upcoming Galaxy S21 smartphone. A poll posted by the official Twitter handle of Samsung Mobile US had 'Twitter for iPhone' written at the bottom, implying that an iPhone was used to post the tweet. ""Not even Samsung employees use a Samsung phone,"" a Twitter user said.",technology
6,TikTok to make accounts private by default for users aged under 16,"TikTok users aged under 16 will have their accounts set to private by default to improve child safety, the Chinese app announced on Wednesday.  They will have to proactively approve any request from other users to follow them and to be able to comment on their videos. Furthermore, users will also be prevented from downloading any videos created by under-16s.

",technology
7,Trump ban was right but it's a failure that sets dangerous precedent: Twitter CEO,"Twitter CEO Jack Dorsey on Thursday said that banning US President Donald Trump from Twitter was the ""right decision"" but added that it sets a dangerous precedent. ""I feel a ban is a failure of ours, ultimately, to promote healthy conversation...I do not celebrate or feel pride in our having to ban Trump, or how we got here,"" Dorsey added.",technology
8,Army officer develops 'microcopter' for tracking terrorists inside buildings,An Indian Army officer has indigenously developed a 'microcopter' which can be used by the Army to carry out surveillance inside a building or room in which terrorists are hiding. The 'microcopter' has been developed by Lieutenant Colonel GYK Reddy. The trials of the 'microcopter' have been successfully carried out by a Para Special Forces battalion in Jammu and Kashmir.,technology
9,"Health, tech firms including Microsoft, Oracle to create 'vaccination passports'","The Vaccination Credential Initiative (VIC), a coalition of health and tech firms including Microsoft, Oracle and the Mayo Clinic, said it is developing an internationally-accepted digital certificate to verify if someone has taken the COVID-19 vaccine. The tech, similar to a passport, will help prevent people from falsely claiming to be immune to the deadly virus, the VIC said.",technology
